cazyfamily_name,cazyfamily_read_count,seq_amount,average_seq_length,FPKM
HMMER=-,73136,655,1151.575572519084,19054.118105217884
Hotpep=-,73916,663,1226.8778280542986,18075.371481497536
HMMER=GH3(89-309),608,1,2268.0,80.42862088370711
Hotpep=GH3(2)+CBM6(54),608,1,2268.0,80.42862088370711
Hotpep=CE1(5)+GH10(47),7,1,372.0,5.645536153923201
HMMER=GT83(4-516),460,1,1647.0,83.7942706790995
Hotpep=GT83(1),460,1,1647.0,83.7942706790995
HMMER=SLH(486-528),32,1,1698.0,5.654085678638886
Hotpep=GT4(7),329,1,1218.0,81.03986380557738
HMMER=GH13_26(24-308),676,1,2529.0,80.19512329545137
Hotpep=GH13(91)+GH77(24),676,1,2529.0,80.19512329545137
Hotpep=CBM32(68)+CBM56(5)+CBM6(28),116,1,1284.0,27.104603483989095
Hotpep=CBM50(14),346,3,667.0,155.63252290506813
HMMER=GH15(424-780),146,1,2361.0,18.552693144059834
Hotpep=GH15(11),146,1,2361.0,18.552693144059834
HMMER=GT2_Glycos_transf_2(8-177),186,1,996.0,56.02781663256657
Hotpep=CBM5(68),1096,9,865.6666666666666,379.8480944587167
HMMER=GT8(24-273),270,1,1011.0,80.12401459658703
Hotpep=GT8(2),270,1,1011.0,80.12401459658703
HMMER=GH43_10(20-289),434,1,1551.0,83.95141576665682
Hotpep=GH28(46)+GH43(7),434,1,1551.0,83.95141576665682
HMMER=GT51(54-229),709,1,2553.0,83.31928093139368
Hotpep=GT51(100),709,1,2553.0,83.31928093139368
HMMER=AA4(4-235),89,1,1392.0,19.182308188022308
HMMER=GH36(99-484),301,1,1665.0,54.23783562651984
Hotpep=GH36(20),301,1,1665.0,54.23783562651984
HMMER=GH2(42-919),790,1,3078.0,77.00316369233039
Hotpep=GH2(1)+CBM32(79)+CBM51(5)+CBM67(4),790,1,3078.0,77.00316369233039
HMMER=GH13_2(81-407),468,1,2550.0,55.0624796780624
Hotpep=CBM20(2),676,2,2343.0,86.56144550328487
HMMER=GH13_19(225-594),553,1,2028.0,81.81016592282793
Hotpep=GH13(33)+CBM25(7)+CBM26(3),553,1,2028.0,81.81016592282793
HMMER=CBM40(31-189),55,1,1716.0,9.616023119319738
Hotpep=GH123(7)+GH33(40)+CBM40(7),55,1,1716.0,9.616023119319738
HMMER=GH31(237-681),645,1,2364.0,81.85822726446295
Hotpep=GH31(2),645,1,2364.0,81.85822726446295
HMMER=GH19(34-183),175,1,615.0,85.37152232761915
Hotpep=GH19(5),514,3,619.0,249.12801221309655
HMMER=GH43_26(6-306),252,1,951.0,79.50054697512041
Hotpep=GH43(1)+CBM42(3),268,2,784.5,102.49246515551808
Hotpep=GT4(107),111,1,1269.0,26.24287727882437
Hotpep=CBM50(5),373,2,943.5,118.60882952135177
HMMER=GH161(1-1071),619,1,3225.0,57.5852190073793
Hotpep=GH161(1),619,1,3225.0,57.5852190073793
HMMER=GH23(40-163),130,1,537.0,72.63052099061612
Hotpep=GH23(39),130,1,537.0,72.63052099061612
